"TaskID","ProjectID","StageID","TaskTitle","TaskDescription","AssignedTo","PriorityLevel","Status","ProgressPercent","DueDate","CompletedDate","Blocker","CreatedBy","CreatedAt","DepartmentID"
1002,2002,2002,"Validate business requirements — ERP System Upgrade","Deliver the agreed output for validate business requirements within the ERP System Upgrade project.",5013,"High","Completed",100,1740787200000,1739059200000,"",5004,1786220265163,""
1003,2002,2002,"Prepare solution configuration — ERP System Upgrade","Deliver the agreed output for prepare solution configuration within the ERP System Upgrade project.",5014,"Medium","Completed",100,1742688000000,1740614400000,"",5004,1786220265170,""
1004,2002,2003,"Build integration components — ERP System Upgrade","Deliver the agreed output for build integration components within the ERP System Upgrade project.",5015,"Medium","Completed",100,1744588800000,1742169600000,"",5004,1786220265173,""
1005,2002,2003,"Execute quality assurance testing — ERP System Upgrade","Deliver the agreed output for execute quality assurance testing within the ERP System Upgrade project.",5016,"Critical","Completed",100,1746489600000,1743724800000,"",5004,1786220265180,""
1006,2002,2004,"Complete user acceptance review — ERP System Upgrade","Deliver the agreed output for complete user acceptance review within the ERP System Upgrade project.",5017,"Medium","Completed",100,1748390400000,1745280000000,"",5004,1786220265183,""
1007,2002,2005,"Prepare deployment checklist — ERP System Upgrade","Deliver the agreed output for prepare deployment checklist within the ERP System Upgrade project.",5018,"Medium","Completed",100,1750291200000,1746835200000,"",5004,1786220265187,""
1008,2003,2006,"Validate business requirements — Customer Portal","Deliver the agreed output for validate business requirements within the Customer Portal project.",5014,"High","Completed",100,1773792000000,1772323200000,"",5005,1786220265190,""
1009,2003,2006,"Prepare solution configuration — Customer Portal","Deliver the agreed output for prepare solution configuration within the Customer Portal project.",5015,"Medium","Completed",100,1775692800000,1772668800000,"",5005,1786220265197,""
1010,2003,2007,"Build integration components — Customer Portal","Deliver the agreed output for build integration components within the Customer Portal project.",5016,"Medium","In Progress",68,1777593600000,"","",5005,1786220265200,""
1011,2003,2007,"Execute quality assurance testing — Customer Portal","Deliver the agreed output for execute quality assurance testing within the Customer Portal project.",5017,"Critical","Blocked",45,1779494400000,"","Awaiting vendor technical specification.",5005,1786220265207,""
1012,2003,2008,"Complete user acceptance review — Customer Portal","Deliver the agreed output for complete user acceptance review within the Customer Portal project.",5018,"Medium","Not Started",0,1781395200000,"","",5005,1786220265210,""
1013,2003,2009,"Prepare deployment checklist — Customer Portal","Deliver the agreed output for prepare deployment checklist within the Customer Portal project.",5019,"Medium","Not Started",0,1783296000000,"","",5005,1786220265213,""
1014,2004,2010,"Validate business requirements — HR Management System","Deliver the agreed output for validate business requirements within the HR Management System project.",5015,"High","Not Started",0,1792108800000,"","",5006,1786220265217,""
1015,2004,2010,"Prepare solution configuration — HR Management System","Deliver the agreed output for prepare solution configuration within the HR Management System project.",5016,"Medium","Not Started",0,1794009600000,"","",5006,1786220265223,""
1016,2004,2011,"Build integration components — HR Management System","Deliver the agreed output for build integration components within the HR Management System project.",5017,"Medium","Not Started",0,1795910400000,"","",5006,1786220265227,""
1017,2004,2011,"Execute quality assurance testing — HR Management System","Deliver the agreed output for execute quality assurance testing within the HR Management System project.",5018,"Critical","Not Started",0,1797811200000,"","",5006,1786220265230,""
1018,2004,2012,"Complete user acceptance review — HR Management System","Deliver the agreed output for complete user acceptance review within the HR Management System project.",5019,"Medium","Not Started",0,1799712000000,"","",5006,1786220265233,""
1019,2004,2013,"Prepare deployment checklist — HR Management System","Deliver the agreed output for prepare deployment checklist within the HR Management System project.",5020,"Medium","Not Started",0,1801612800000,"","",5006,1786220265237,""
1020,2005,2014,"Validate business requirements — Network Infrastructure Upgrade","Deliver the agreed output for validate business requirements within the Network Infrastructure Upgrade project.",5016,"High","Completed",100,1771891200000,1770422400000,"",5004,1786220265240,""
1021,2005,2014,"Prepare solution configuration — Network Infrastructure Upgrade","Deliver the agreed output for prepare solution configuration within the Network Infrastructure Upgrade project.",5017,"Medium","Completed",100,1773792000000,1770768000000,"",5004,1786220265243,""
1022,2005,2015,"Build integration components — Network Infrastructure Upgrade","Deliver the agreed output for build integration components within the Network Infrastructure Upgrade project.",5018,"Medium","In Progress",55,1775692800000,"","",5004,1786220265250,""
1023,2005,2015,"Execute quality assurance testing — Network Infrastructure Upgrade","Deliver the agreed output for execute quality assurance testing within the Network Infrastructure Upgrade project.",5019,"Critical","Blocked",45,1777593600000,"","Awaiting vendor technical specification.",5004,1786220265253,""
1024,2005,2016,"Complete user acceptance review — Network Infrastructure Upgrade","Deliver the agreed output for complete user acceptance review within the Network Infrastructure Upgrade project.",5020,"Medium","Not Started",0,1779494400000,"","",5004,1786220265260,""
1025,2005,2017,"Prepare deployment checklist — Network Infrastructure Upgrade","Deliver the agreed output for prepare deployment checklist within the Network Infrastructure Upgrade project.",5021,"Medium","Not Started",0,1781395200000,"","",5004,1786220265260,""
1026,2006,2018,"Validate business requirements — Mobile Application","Deliver the agreed output for validate business requirements within the Mobile Application project.",5017,"High","Completed",100,1777420800000,1775952000000,"",5005,1786220265260,""
1027,2006,2018,"Prepare solution configuration — Mobile Application","Deliver the agreed output for prepare solution configuration within the Mobile Application project.",5018,"Medium","Completed",100,1779321600000,1776297600000,"",5005,1786220265260,""
1028,2006,2019,"Build integration components — Mobile Application","Deliver the agreed output for build integration components within the Mobile Application project.",5019,"Medium","In Progress",42,1781222400000,"","",5005,1786220265263,""
1029,2006,2019,"Execute quality assurance testing — Mobile Application","Deliver the agreed output for execute quality assurance testing within the Mobile Application project.",5020,"Critical","Blocked",45,1783123200000,"","Awaiting vendor technical specification.",5005,1786220265267,""
1030,2006,2020,"Complete user acceptance review — Mobile Application","Deliver the agreed output for complete user acceptance review within the Mobile Application project.",5021,"Medium","Not Started",0,1785024000000,"","",5005,1786220265273,""
1031,2006,2021,"Prepare deployment checklist — Mobile Application","Deliver the agreed output for prepare deployment checklist within the Mobile Application project.",5013,"Medium","Not Started",0,1786924800000,"","",5005,1786220265273,""
1032,2007,2022,"Validate business requirements — E-Commerce Platform","Deliver the agreed output for validate business requirements within the E-Commerce Platform project.",5018,"High","Not Started",0,1794700800000,"","",5006,1786220265280,""
1033,2007,2022,"Prepare solution configuration — E-Commerce Platform","Deliver the agreed output for prepare solution configuration within the E-Commerce Platform project.",5019,"Medium","Not Started",0,1796601600000,"","",5006,1786220265280,""
1034,2007,2023,"Build integration components — E-Commerce Platform","Deliver the agreed output for build integration components within the E-Commerce Platform project.",5020,"Medium","Not Started",0,1798502400000,"","",5006,1786220265283,""
1035,2007,2023,"Execute quality assurance testing — E-Commerce Platform","Deliver the agreed output for execute quality assurance testing within the E-Commerce Platform project.",5021,"Critical","Not Started",0,1800403200000,"","",5006,1786220265287,""
1036,2007,2024,"Complete user acceptance review — E-Commerce Platform","Deliver the agreed output for complete user acceptance review within the E-Commerce Platform project.",5013,"Medium","Not Started",0,1802304000000,"","",5006,1786220265290,""
1037,2007,2025,"Prepare deployment checklist — E-Commerce Platform","Deliver the agreed output for prepare deployment checklist within the E-Commerce Platform project.",5014,"Medium","Not Started",0,1804204800000,"","",5006,1786220265290,""
1038,2008,2026,"Validate business requirements — Data Migration","Deliver the agreed output for validate business requirements within the Data Migration project.",5019,"High","Completed",100,1744675200000,1742947200000,"",5004,1786220265293,""
1039,2008,2026,"Prepare solution configuration — Data Migration","Deliver the agreed output for prepare solution configuration within the Data Migration project.",5020,"Medium","Completed",100,1746576000000,1744502400000,"",5004,1786220265297,""
1040,2008,2027,"Build integration components — Data Migration","Deliver the agreed output for build integration components within the Data Migration project.",5021,"Medium","Completed",100,1748476800000,1746057600000,"",5004,1786220265300,""
1041,2008,2027,"Execute quality assurance testing — Data Migration","Deliver the agreed output for execute quality assurance testing within the Data Migration project.",5013,"Critical","Completed",100,1750377600000,1747612800000,"",5004,1786220265307,""
1042,2008,2028,"Complete user acceptance review — Data Migration","Deliver the agreed output for complete user acceptance review within the Data Migration project.",5014,"Medium","Completed",100,1752278400000,1749168000000,"",5004,1786220265307,""
1043,2008,2029,"Prepare deployment checklist — Data Migration","Deliver the agreed output for prepare deployment checklist within the Data Migration project.",5015,"Medium","Completed",100,1754179200000,1750723200000,"",5004,1786220265310,""
1044,2009,2030,"Validate business requirements — Cybersecurity Improvement","Deliver the agreed output for validate business requirements within the Cybersecurity Improvement project.",5020,"High","Completed",100,1771459200000,1769990400000,"",5004,1786220265310,""
1045,2009,2030,"Prepare solution configuration — Cybersecurity Improvement","Deliver the agreed output for prepare solution configuration within the Cybersecurity Improvement project.",5021,"Medium","Completed",100,1773360000000,1770336000000,"",5004,1786220265317,""
1046,2009,2031,"Build integration components — Cybersecurity Improvement","Deliver the agreed output for build integration components within the Cybersecurity Improvement project.",5013,"Medium","In Progress",72,1775260800000,"","",5004,1786220265320,""
1047,2009,2031,"Execute quality assurance testing — Cybersecurity Improvement","Deliver the agreed output for execute quality assurance testing within the Cybersecurity Improvement project.",5014,"Critical","Blocked",45,1777161600000,"","Awaiting vendor technical specification.",5004,1786220265323,""
1048,2009,2032,"Complete user acceptance review — Cybersecurity Improvement","Deliver the agreed output for complete user acceptance review within the Cybersecurity Improvement project.",5015,"Medium","Not Started",0,1779062400000,"","",5004,1786220265327,""
1049,2009,2033,"Prepare deployment checklist — Cybersecurity Improvement","Deliver the agreed output for prepare deployment checklist within the Cybersecurity Improvement project.",5016,"Medium","Not Started",0,1780963200000,"","",5004,1786220265330,""
1050,2010,2034,"Validate business requirements — Internal Automation","Deliver the agreed output for validate business requirements within the Internal Automation project.",5021,"High","Completed",100,1781481600000,1780012800000,"",5006,1786220265330,""
1051,2010,2034,"Prepare solution configuration — Internal Automation","Deliver the agreed output for prepare solution configuration within the Internal Automation project.",5013,"Medium","Completed",100,1783382400000,1780358400000,"",5006,1786220265333,""
1052,2010,2035,"Build integration components — Internal Automation","Deliver the agreed output for build integration components within the Internal Automation project.",5014,"Medium","In Progress",35,1785283200000,"","",5006,1786220265333,""
1053,2010,2035,"Execute quality assurance testing — Internal Automation","Deliver the agreed output for execute quality assurance testing within the Internal Automation project.",5015,"Critical","Blocked",45,1787184000000,"","Awaiting vendor technical specification.",5006,1786220265337,""
1054,2010,2036,"Complete user acceptance review — Internal Automation","Deliver the agreed output for complete user acceptance review within the Internal Automation project.",5016,"Medium","Not Started",0,1789084800000,"","",5006,1786220265340,""
1055,2010,2037,"Prepare deployment checklist — Internal Automation","Deliver the agreed output for prepare deployment checklist within the Internal Automation project.",5017,"Medium","Not Started",0,1790985600000,"","",5006,1786220265340,""
1056,2011,2038,"Validate business requirements — CRM Integration","Deliver the agreed output for validate business requirements within the CRM Integration project.",5013,"High","Not Started",0,1797379200000,"","",5005,1786220265343,""
1057,2011,2038,"Prepare solution configuration — CRM Integration","Deliver the agreed output for prepare solution configuration within the CRM Integration project.",5014,"Medium","Not Started",0,1799280000000,"","",5005,1786220265347,""
1058,2011,2039,"Build integration components — CRM Integration","Deliver the agreed output for build integration components within the CRM Integration project.",5015,"Medium","Not Started",0,1801180800000,"","",5005,1786220265350,""
1059,2011,2039,"Execute quality assurance testing — CRM Integration","Deliver the agreed output for execute quality assurance testing within the CRM Integration project.",5016,"Critical","Not Started",0,1803081600000,"","",5005,1786220265353,""
1060,2011,2040,"Complete user acceptance review — CRM Integration","Deliver the agreed output for complete user acceptance review within the CRM Integration project.",5017,"Medium","Not Started",0,1804982400000,"","",5005,1786220265353,""
1061,2011,2041,"Prepare deployment checklist — CRM Integration","Deliver the agreed output for prepare deployment checklist within the CRM Integration project.",5018,"Medium","Not Started",0,1806883200000,"","",5005,1786220265353,""
