"ForeignKeyName","ChildSchema","ChildTable","ChildColumn","ParentSchema","ParentTable","ParentColumn"
"FK__Attachmen__Uploa__02FC7413","dbo","Attachments","UploadedBy","dbo","Users","UserID"
"FK__AuditLogs__Actio__10566F31","dbo","AuditLogs","ActionBy","dbo","Users","UserID"
"FK__Comments__Create__06CD04F7","dbo","Comments","CreatedBy","dbo","Users","UserID"
"FK__Issues__ProjectI__797309D9","dbo","Issues","ProjectID","dbo","Projects","ProjectID"
"FK__Issues__Assigned__7A672E12","dbo","Issues","AssignedTo","dbo","Users","UserID"
"FK__KeyResult__Objec__71D1E811","dbo","KeyResults","ObjectiveID","dbo","Objectives","ObjectiveID"
"FK__KeyResult__Respo__72C60C4A","dbo","KeyResults","ResponsibleUserID","dbo","Users","UserID"
"FK__Notificat__UserI__7F2BE32F","dbo","Notifications","UserID","dbo","Users","UserID"
"FK__Objective__Proje__6E01572D","dbo","Objectives","ProjectID","dbo","Projects","ProjectID"
"FK__Objective__Owner__6EF57B66","dbo","Objectives","OwnerID","dbo","Users","UserID"
"FK_ProjectDepartments_Department","dbo","ProjectDepartments","DepartmentID","dbo","Departments","DepartmentID"
"FK_ProjectDepartments_Project","dbo","ProjectDepartments","ProjectID","dbo","Projects","ProjectID"
"FK__Projects__Projec__5629CD9C","dbo","Projects","ProjectManagerID","dbo","Users","UserID"
"FK__Projects__Create__5812160E","dbo","Projects","CreatedBy","dbo","Users","UserID"
"FK_ProjectStages_Department","dbo","ProjectStages","DepartmentID","dbo","Departments","DepartmentID"
"FK__ProjectSt__Proje__5BE2A6F2","dbo","ProjectStages","ProjectID","dbo","Projects","ProjectID"
"FK__ProjectSt__Respo__5CD6CB2B","dbo","ProjectStages","ResponsibleUserID","dbo","Users","UserID"
"FK_ProjectTasks_Department","dbo","ProjectTasks","DepartmentID","dbo","Departments","DepartmentID"
"FK__ProjectTa__Proje__619B8048","dbo","ProjectTasks","ProjectID","dbo","Projects","ProjectID"
"FK__ProjectTa__Stage__628FA481","dbo","ProjectTasks","StageID","dbo","ProjectStages","StageID"
"FK__ProjectTa__Assig__6383C8BA","dbo","ProjectTasks","AssignedTo","dbo","Users","UserID"
"FK__ProjectTa__Creat__6477ECF3","dbo","ProjectTasks","CreatedBy","dbo","Users","UserID"
"FK__ProjectUp__Proje__0A9D95DB","dbo","ProjectUpdates","ProjectID","dbo","Projects","ProjectID"
"FK__ProjectUp__Stage__0B91BA14","dbo","ProjectUpdates","StageID","dbo","ProjectStages","StageID"
"FK__ProjectUp__Creat__0C85DE4D","dbo","ProjectUpdates","CreatedBy","dbo","Users","UserID"
"FK__Risks__ProjectID__75A278F5","dbo","Risks","ProjectID","dbo","Projects","ProjectID"
"FK__Risks__OwnerID__76969D2E","dbo","Risks","OwnerID","dbo","Users","UserID"
"FK__RolePermi__Permi__4F7CD00D","dbo","RolePermissions","PermissionID","dbo","Permissions","PermissionID"
"FK__RolePermi__RoleI__4E88ABD4","dbo","RolePermissions","RoleID","dbo","Roles","RoleID"
"FK__UserRoles__RoleI__4BAC3F29","dbo","UserRoles","RoleID","dbo","Roles","RoleID"
"FK__UserRoles__UserI__4AB81AF0","dbo","UserRoles","UserID","dbo","Users","UserID"
"FK_Users_Branch","dbo","Users","BranchID","dbo","Branches","BranchID"
"FK_Users_Department","dbo","Users","DepartmentID","dbo","Departments","DepartmentID"
"FK__WorkflowS__Respo__6B24EA82","dbo","WorkflowSteps","ResponsibleRoleID","dbo","Roles","RoleID"
"FK__WorkflowS__Workf__6A30C649","dbo","WorkflowSteps","WorkflowID","dbo","WorkflowDefinitions","WorkflowID"
